Path,Name,TypeName,Type,Description,Created,CreatedBy,Modified,ModifiedBy
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_registrations_f(Table),crw_ae_tax_registrations_f,Table,Table,,10/10/2019 1:53:42 PM,ird0sxw,9/04/2020 7:41:18 AM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_registrations_r(Table),crw_ae_tax_registrations_r,Table,Table,,11/04/2020 10:45:24 AM,ird0sxw,11/04/2020 10:45:24 AM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_types_d(Table),crw_ae_tax_types_d,Table,Table,,11/10/2019 10:02:45 AM,ird0sxw,11/10/2019 10:02:45 AM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_types_f(Table),crw_ae_tax_types_f,Table,Table,,11/10/2019 10:02:45 AM,ird0sxw,11/10/2019 10:02:45 AM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_lan_account_type_d(Table),crw_as_lan_account_type_d,Table,Table,,30/09/2019 12:59:35 PM,ird0sxw,30/09/2019 12:59:35 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_lan_account_type_f(Table),crw_as_lan_account_type_f,Table,Table,,30/09/2019 12:59:35 PM,ird0sxw,30/09/2019 12:59:35 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_lan_close_reason_d(Table),crw_as_lan_close_reason_d,Table,Table,,30/09/2019 1:16:18 PM,ird0sxw,30/09/2019 1:16:18 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_lan_close_reason_f(Table),crw_as_lan_close_reason_f,Table,Table,,30/09/2019 1:16:18 PM,ird0sxw,30/09/2019 1:16:18 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_lan_filing_d(Table),crw_as_lan_filing_d,Table,Table,,30/09/2019 1:36:05 PM,ird0sxw,30/09/2019 1:36:05 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_lan_filing_f(Table),crw_as_lan_filing_f,Table,Table,,30/09/2019 1:36:05 PM,ird0sxw,30/09/2019 1:40:20 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_lan_list_item_d(Table),crw_as_lan_list_item_d,Table,Table,,30/09/2019 3:19:18 PM,ird0sxw,1/10/2019 8:13:49 AM,ird0mxw
